Horizon (min),TiRex-2 [95% CI],Chronos-Bolt [95% CI],TimesFM-2.5 [95% CI],Moirai-1.1-R [95% CI]
1,"0.947 [0.943, 0.951]","0.945 [0.941, 0.949]","0.945 [0.941, 0.949]","0.928 [0.924, 0.933]"
3,"0.917 [0.912, 0.921]","0.913 [0.909, 0.918]","0.914 [0.909, 0.919]","0.904 [0.899, 0.910]"
5,"0.898 [0.893, 0.903]","0.892 [0.887, 0.897]","0.892 [0.887, 0.897]","0.887 [0.882, 0.893]"
7,"0.885 [0.880, 0.890]","0.879 [0.874, 0.885]","0.878 [0.873, 0.884]","0.874 [0.868, 0.880]"
10,"0.870 [0.864, 0.875]","0.866 [0.860, 0.871]","0.865 [0.860, 0.871]","0.863 [0.857, 0.869]"
15,"0.853 [0.847, 0.859]","0.851 [0.845, 0.857]","0.847 [0.841, 0.854]","0.846 [0.839, 0.852]"
